Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Blawesome LLC,"Blawesome Farm LLC, Blawesome",https://www.beautifulblawesome.com/,LLC - Limited Liability,6/16/2016,Rebecca Sorensen,Michelle Morehouse,,,1006 Cane Valley Lane,Chapel Hill,North Carolina,27516,Orange,info@beautifulblawesome.com,(919) 605-5404,"Blawesome is a Social Care Farm, which uses farming as a therapeutic intervention to improve health, social, and vocational outcomes for socially disadvantaged and marginalized populations. At Blawesome, we use the beauty of locally grown flowers as a vehicle to promote higher expectations about the potential, the possibility, and capability of individuals living with intellectual and developmental disabilities (I/DD). We use the art and practice of growing, designing, and delivering cut flowers to promote self, environmental, and community sustainability. We believe that a purpose-driven life and the opportunity to work closely with nature go a long way towards mitigating many of the adverse health conditions experienced by over half of the adult population living with autism. We are using agriculture, community, and service to create a model that can improve quality of life outcomes for everyone. In addition to traditional and custom arrangements, and market bouquets, Blawesome sells a signature bouquet we call the ?Good Karma Bouquet.? For every Good Karma Bouquet that we sell, we donate one to someone in the community who is a teacher, a police officer, a social worker... someone who is often overlooked or underappreciated in the community. The person who grows, cultivates, and delivers those flowers is my son Raimee, who is 22 years old and has a diagnosis of autism. What we are really selling is not just a beautiful, locally grown product, but a message: that just because someone has a disability, does not mean that they do not have something beautiful to contribute to the world.",order website: https://blawesome-flowers.myshopify.com/,"Annual report 4/8/20, JL 6/14/20. Website is active, NC Sec State website status is ""Current - Active"", 6-26-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 4/2/23, website active (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 2/14/24, website active (John 5/21/24).",,,,
Blinkness.com Inc,,http://unc.blinkness.com/,,6/1/2010,,,,,100 Europa Dr Ste 540,Chapel Hill,North Carolina,27517,Orange,,,"Blinkness creates free and easy-to-use web-based services that allow college students to save time and money by providing solutions for expensive textbooks, course work, and other issues.",Incorporation paperwork Revoked 7/16/2014,,"Liquidation, close down",7/16/2014,,
Blip Inc,"BlipMe; Registered as Blip, Inc",http://www.blipme.co,C Corporation,2/13/2015,Ricky McMahon,,,,102 Falkner Dr,Chapel Hill,North Carolina,27517,Orange,support@blipme.co,,"BlipMe offers a mobile application that allows users to share geographic information in real-time, and for specificed times, using GPS coordinates.","incorporated NC as Blip Inc; latest annual report NC filed 10/27/2016, 3/2/2018 (Cindy, 4/13/2017) website inactive, dissolved as of 1/6/2021 (Patrick, 1/12/2021)","Website no longer is active. Latest Annual report published 4/12/2019. Company status is Active on NC Sec State website for now. Jen Lai (6/1/19). Website not active, but newest annual report 3/5/20 JL 6/14/20. Mark inactive?","Liquidation, close down",1/6/2021,,
blockciti,ANALYTCA; Uniqod,https://blockciti.com/,LLC - Limited Liability,11/6/2018,Ehsan Salarikhaniki,Shayan Moin,,,15 Buchanan Dr.,Ontario,Ontario,L3R4C4,Durham,support@blockciti.com,,An Educational Platform for Blockchain Technology through contextually relevant aggregation of quality learning materials.,"exited 1/2019 according to founder's LinkedIn page (Cindy, 7/24/2019) no incorporation data found (Patrick, 1/11/2021)","Analytca (NC) same founder, Ehsan Salarikhaniki, rebranded to Blockciti. Looks like they moved locations from NC to Canada according to the address listed on Blockciti website. Jen Lai (6/1/19) Source: https://medium.com/@blockciti/analytca-to-blockciti-d292a2521567","Liquidation, close down",1/1/2019,,
Blue Current Inc,,http://www.bluecurrent.com/,,5/22/2014,Joseph Desimone,,Joseph Desimone,,3906 Trust Way,Hayward,California,94545,,info@bluecurrent.com,,Blue Current is developing novel materials for improved battery performance.,"funded, at least in part, by Faster LLC incorporated DE 5/22/2014; incorporated CA 7/14/2015 Website is active, CA Sec State website status is ""Active"", CA Statement of Information filed 2-25-22, 6-26-22 - Tiffany. DE incorporation status is ""Active"", website is active (Tiffany, 7/20/23). Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se. ""BLUE CURRENT, INC. (3807398)"" registered ""active"" in CA, statement of info filed 4/24/23, website active (John 5/21/24).",,,,,
Blue Dog Local,,http://bluedoglocal.com/,Sole Proprietorship,1/10/2015,Taylor Robinette,,,,321 W Rosemary St,Chapel Hill,North Carolina,27516,Orange,info@bluedoglocal.com,(443) 293-2455,Blue Dog Local was founded to help local companies make the dive into digital marketing and increase their marketing budget ROI. We believe that local businesses should have access to all of the same tools as large companies spending millions on marketing.,no incorporation data found 6/6/2018 Technology & Media Entrepreneurship (founder's major at UNC),"Registered in Maryland. According to the founder's Linkedin, the company exited/closed in Jan 2019. Website still works. Jen Lai 7/1/19","Liquidation, close down",1/1/2019,,
Bluedoor Connect,,http://www.bluedoor.us/bluedoor-connect/,LLC - Limited Liability,4/1/2019,Michael Levy,,,,405 W Franklin St,Chapel Hill,North Carolina,27516,Orange,collaborate@bluedoor.us,(919) 902-5837,"""A Talent Management agency accelerating digital transformation by nurturing the healthcare architects and builders of the future."" (website, 5/7/2019)","guessed for incorporation type and date, based on Bluedoor LLC parent and date of announcement (Cindy, 5/7/2019) Website is active, NC Sec State website status is ""Active - Not Current"", 6-26-22 - Tiffany. Website is active, NC Sec State website status is ""Current-Active"", last AR 2/22/2023 (7-20-23, Tiffany). ""Bluedoor LLC"" NC SoS status ""Current- Active"", AR filed 2/22/23, website active (John 5/21/24).",Likely part of Bluedoor LLC. 7/21/21.,,,,
Bluedoor LLC,Blue Door Group,http://bluedoor.us/,LLC - Limited Liability,3/17/2016,Michael Levy,,,,405 W Franklin St,Chapel Hill,North Carolina,27516,Orange,collaborate@bluedoor.us,(919) 902-5837,"""Bluedoor is a collaborative network of healthcare providers and experts, software and hardware developers, design thinkers, entrepreneurs and strategic business minds with deep connections in healthcare and decades of success in the innovation space."" (website, 6/7/2018)","incorporated NC, annual report NC 3/14/2017 still operating as Bluedoor after the merger (Cindy, 10/1/2020)","NC annual report 3/11/18. Jen Lai 7/12/19. Annual report 9/18/19, JL 6/14/20. AR 4/7/21- JL 7/21/21. Website is active, NC Sec State website status is ""Active - Not Current"", 6-26-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 2/22/23, website active (Juliana, 5/23/23) ""Bluedoor LLC"" NC SoS status ""Current- Active"", AR filed 2/22/23, website active, phone updated (John 5/21/24).",Merger,7/15/2019,,
Blue House Cafe,,https://bluehousecafech.square.site/,501c,3/3/2022,Rebecca Felicelli,,,,462 West Franklin Street,Chapel Hill,North Carolina,27516,Orange,bluehousecafe.ch@gmail.com,9195375706,"Blue House CafÇ was founded by three UNC students?with a combined experience in business, marketing, finance, and coffee?with the mission to be a place for the UNC and Chapel Hill community to gather. One way we hope to create a bridge between UNC students and the Chapel Hill community is through art and events by... Displaying the artwork of both local artists and UNC students to support and connect the creative communities Promoting opportunities to become involved in community and to support local organizations Inviting local musicians to play at the shop for live music hours We are here to serve you great drinks while keeping our community at the forefront of all we do. We hope you?ll stay and relax for a while, or stop in for a drink while you're on the go.",,"changed to UNC independent, NC registration and website active (Patrick, 2/28/23) Current- Active on NC Site as ""Bluehouse CafÇ Incorporated"", no NC Annual Report required due to nonprofit status, website active, (Juliana, 5/23/23) ""Current- Active"" on NC SoS website, not on IRS website, Google says permanently closed (may be inaccurate?), website active (John 5/4/24). Not active on founder's LinkedIn, marking inactive (Tiffany, 6-14-24)","Liquidation, close down",6/1/2022,,
BlueRecruit,,https://bluerecruit.us/,,10/19/2021,Gina Camacho,,,,1 Glenwood Avenue,Raleigh,North Carolina,27603,Wake,,,"""We match skilled trade workers with companies desperate for their talent."" (Startup website, January 2024)","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 3/14/23; Active website - Jenny (12/28/2023)\\ ""Bluedoor LLC"" NC SoS status ""Current- Active"", AR filed 3/25/24, website active (John 5/21/24).",,,,,
Blue Ridge Lighting Solutions LLC,,,LLC - Limited Liability,9/21/2011,Sara Paisner,Michael Pena,,,2054 Kildaire Farm Rd #330,Cary,North Carolina,27518,Wake,,,"Blue Ridge Lighting Solutions manufactures LED lighting such as the Sequoia Profile I, and provides engineering and compliance support services for LED lighting companies.","administrative dissolution - NC Dept of Secretary of State, 2/9/2015 (Cindy, 7/9/2015)",,"Liquidation, close down",2/9/2015,,
BlueSky Polymers LLC,,,LLC - Limited Liability,8/20/2020,Theo Dingemans,Edward Samulski,Theo Dingemans,Edward Samulski,102 Woodsage Way,Cary,North Carolina,27518,Wake,,(919) 522-4374,,"incorporated DE 8/20/2020, NC 9/9/2020 applying for CELA in fall 2020","AR 3/31/21, but no website found-JL. No website listed, NC Sec State website status is ""Current - Active"", NC AR - 4-26-22, 6-26-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 4/17/23, no website found (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 4/18/24, no website found, address updated (John 5/21/24).",,,,
"Blue Sky Robotics, Inc","UNC Blue Sky Innovations; Robotic Vision, Inc.",https://www.uncbluesky.com/robots-drones,C Corporation,8/28/2023,Lizzi Gibson,Steven King,Steven King,,142 E Franklin St,Chapel Hill,North Carolina,27514,Orange,blueskyinnovations@unc.edu,(919) 962-4085,"""UNC Blue Sky Innovations works to create and share novel and immersive storytelling experiences that engage audiences by leveraging new technologies such as artificial intelligence and virtual and augmented reality with unique, research-based perspectives. ""Students and faculty use new technologies and human-centered design concepts to solve challenging problems for media companies. Projects are rooted in scientific and consumer/audience research and leverage collaborations with subject-matter experts across the university such as the School of Medicine and the Computer Science Department as well as multiple industry leaders like Time Magazine and The Washington Post as well as local journalism publishers."" (Startup website, January 2024)","NC Secretary of State website status is ""Current-Active;"" No NC Annual Report yet; Creation Filed on 8/28/23, Jenny (1/22/2024) ""Current- Active"" on NC SoS website, website active, AR not filed yet, address/email updated (John 5/21/24).",,,,,
BMPolytech LLC,,http://www.bmpolytech.com/index.html,LLC - Limited Liability,2/12/2018,Eric Green,,Sergei Sheiko,,605 Cedar Run Ln,Chapel Hill,North Carolina,27516,Orange,info@bmpolytech.com,1?(919) 607-0273?,"BMPolytech is a new company that develops and commercializes a new class of materials, tissue-mimetic Brush-like Polymer Networks, based on the invention from University of North Carolina at Chapel Hill (Published in Science and Nature journals; patents pending).",incorporated NC,"NC annual report 6/13/19 JL 7/12/19. NC annual report 3/14/20. JL 6/14/20. NC AR 4/9/21- JL 7/21/21. Website is not working, NC Sec State website status is ""Current - Active"", NC AR - 5-4-22, 6-26-22 - Tiffany. Current - Active on NC Site, last NC Annual Report Filed 5/4/22, website inactive and no other website found (Juliana, 5/23/23) Current - Active on NC Site, last NC Annual Report Filed 5/4/22, website inactive and no other website found (John 5/21/24).",,,,
Boldfoot Socks,,http://boldfoot.com,C Corporation,3/5/2017,Bradley A Christmann,,,,213 Wales Ave,Charlotte,North Carolina,28209-2211,Mecklenburg,hello@boldfoot.com,(559) 997-6257,"Socks that support heroes. 5% of profits go to veterans in need. At Boldfoot, we aim to prove that ?American-made? stands for something, and we?re starting from the ground up with awesome socks. Quality is our biggest priority in everything we do, and we?re proud to say that our socks are 100% American-made and sourced. The cotton is grown here and the socks are sewn here. At Boldfoot, we aim to prove that ?American-made? stands for something, and we?re starting from the ground up with awesome socks. Quality is our biggest priority in everything we do, and we?re proud to say that our socks are 100% American-made and sourced. The cotton is grown here and the socks are sewn here.","Incorporation information not found (Cindy, 1/11/2016), no incorporation data found, but website still up (Patrick, 6/6/2018)","Basic corp information found through Nexis and internet articles, but cannot find business incorporation state. Checked VA, DC, NC, DE. Website is active. - Jen Lai 7/5/19. No incorporation data found, but website active, article points to company in Washington DC. JL 6/14/20. Website is active, still no incorporation data found, the founder's LinkedIn shows the company as inactive in July 2021, 6-26-22 - Tiffany. No further info found, marking inactive per previous notes, (Tiffany, 7/20/23).","Liquidation, close down",7/1/2021,,
Boomcaster,,https://boomcaster.com/,LLC - Limited Liability,8/26/2020,Hari Gopalakrishna,,,,136 East Rosemary Suite 100,Chapel Hill,North Carolina,27514,Orange,,(919) 386-9663,"""Empowering creators to podcast, vodcast and livestream from a single platform"" (website 5/3/2022)","Website is active, NC Sec State website status is ""Current - Active"", NC AR - 4-13-22, 6-26-22 - Tiffany.","Current - Active on NC Site, last NC Annual Report Filed 4/13/22, website active (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 11/4/23, website active (John 5/21/24).",,,,
"BOOMROOM Fitness, LLC",BOOMROOM22,www.boomroom.fit,LLC - Limited Liability,1/1/2021,Anna Shuford,,,,3700 Pelham Lane,Charlotte,North Carolina,28211,Mecklenburg,,(704) 604-0249,To empower creators to host superior live experiences.,"Website is not working, NC Sec State website status is ""Current - Active"", NC AR - 3-3-22, 6-26-22 - Tiffany. Status is ""converted"" on NC website, destruction filing 8/3/22, website inactive, (Juliana 5/23/23). Status is ""converted"" on NC website, destruction filing 8/3/22, new website active, (5/21/24).",,,,,
Borderless Mobility GmbH,Borderless Mobility GmbH; Reveox,www.reveox.com,Other,9/6/2018,Leon Pietschmann,,,,Ludwig-Wilhelm- Str.3,Karlsruhe,,76131,,mail@borderless-mobility.com,,"Short: Reveox is a platform for free (or at least cheap) mobility. With reveox you can find a free rental car on selected routs throughout the country. Reveox itself pulls the offers from major rental car agencies, that need the cars to be relocated, and therefore makes relocating cars a lot more efficient. At the moment we have up to 100 rides every day in Germany. Problem: When managing a fleet many companies, especially car rentals agencies, encounter the problem of having to relocate cars to another location. Relocating a car today is a very expensive process, mainly because you need to pay for fuel, the driver and for the driver to get back home. But what if you could get rid of these three major costs? Our solution: With our platform, we mediate these relocations offers to people, mainly students, looking for a cheap way to travel, thus saving everyone a lot of money. Every day there are a few thousand people that could potentially relocate the cars, but since they don?t know about the need for the car to be relocated they take the bus, train or plane. But whats missing is a platform that shows alternative options to cheaply (maybe even for free!) travel those routes. That?s exactly what reveox wants to be. We want to be the first website you check when you need to go somewhere and taking a car is a possible option. Target Group: We want to target travelers on a budget that appreciate driving a rental car more than sitting on the bus for hours. USP: We are the only company like this in Germany","incorporated in Germany as Borderless Mobility GmbH (Patrick, 7/26/19) The website is no longer working. It appears that this company is inactive per the founder's LinkedIn and the website here: https://www.northdata.com/Borderless+Mobility+GmbH,+Karlsruhe/Amtsgericht+Mannheim+HRB+731423 Per the above website, company termination was 3/16/2022, 6-26-22 - Tiffany. Marking inactive per above notes (Tiffany, 7/20/23).",Incorporated in Germany. Jen Lai 7/7/19.,"Liquidation, close down",3/16/2022,,
Boro Beverage Company,Boro Bodega,www.borobeverage.com,LLC - Limited Liability,5/1/2017,Carly Erickson,,,,422 W Franklin St,Chapel Hill,North Carolina,27516,Orange,hello@borobeverage.com,(919) 942-1110,"Boro Beverage is your local, healthy choice beverage company. We are committed to sourcing seasonal ingredients from the agricultural bounty of the NC Piedmont to produce tasty, good for you craft beverages. The product line up is unique and constantly evolving to keep up with market trends and add diversity. Through the power of natural fermentation most of our beverages are probiotic, aid in digestion and offer properties that balance the gut flora. Our products include: kombucha (a fermented tea with live active cultures), shrubs also known as drinking vinegars, and craft syrups for enhancing your beverage experience. Boro Beverage is a sustainable business focused on packaging bulk to help lessen waste. We are also community minded and socially responsible, with plans to incorporate a give back program that will support our local community. Our target market includes breweries, craft bars, cooperative markets, natural food stores, farmers markets and independently owned businesses.","Mailing address: 400 W Rosemary St Suite 1005, Chapel Hill, NC 27516","NC annual report 3/16/19. Jen Lai 7/12/19. AR 1/19/21- JL 7/21/21. Website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-22-22, 6-26-22 - Tiffany. Current - Active on NC Site, last NC Annual Report Filed 12/19/22, website active but ""under maintenance"" (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 4/15/24, website active (John 5/21/24).",,,,
Boxelder Analytics LLC,Scratchpad Ventures,http://boxelderanalytics.com,LLC - Limited Liability,3/14/2012,John Alexander Harris,,,,2400 Old Brick Road,Glen Allen,Virginia,23060,,contact@boxelderanalytics.com,(804) 322-3118,"""Boxelder Analytics is a boutique data, analytics and artificial intelligence firm based in Richmond, Virginia. We are specialists in solving predictive, classification, optimization, natural language and other machine learning problems for clients and automating solutions. In addition to the collection and management of data itself, Boxelder Analytics provides custom designed web-based tools for the delivery of insight to users. Our mission is to enhance our client's level of understanding with respect to their business operations and enable them to significantly impact their market. We assist our clients in rethinking difficult challenges that they face daily by gathering and analyzing their corporate and public industry data. We combine a broad background in management and operations with rigorous analytical methods to define actionable tactical and strategic paths forward."" (website, 6/7/2018)","Incorporated in VA; name changed from previous business (Cindy, 1/11/2016) active status confirmed 5/2/2017 (Cindy) Website is active, VA SCC website status is ""Active"", 6-26-22 - Tiffany.","Active on VA website, entity ID: S3992916, AR not listed, website active (Juliana, 5/23/23) ""Active"" on VA website, website active (John 5/21/24).",,,,
Brandwein's Bagels,,https://brandweinsbagels.com/,LLC - Limited Liability,8/7/2019,Alexander Brandwein,,,,505 W Rosemary St,Chapel Hill,North Carolina,27516,Orange,alex@brandweinsbagels.com,(914) 874-3347,"We offer New York-style bagels in a vibrant, community-oriented gathering place with the potential to grow horizontally +/or vertically.",,"Website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-22-22, 6-27-22 - Tiffany. Current - Active on NC Site as ""Brandweins Bagels- Chapel Hill One, LLC"", NC Annual Report Filed 3/24/23, website active (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 3/18/24, website active (John 5/21/24).",,,,
Brighton Hartwell & Co. (App to be named),,,LLC - Limited Liability,5/5/2016,Zakary Brown,,,,216 Carter Circle,Winston-Salem,North Carolina,27106,Forsyth,,,,incorporated NC; ADM dissolution by NC,"No website found. NC Sec State website status is ""dissolved"". 6/1/19 - Jen Lai. No website found, dissolved status on 2/28/18. JL 6/14/20. Per note above, marking as ""inactive"", no website or company information found, 6-27-22 - Tiffany","Liquidation, close down",2/28/2018,,
Brightside Worldwide Inc,DBA Brightside Global Trade,https://www.brightsideworldwidestudio.com,C Corporation,1/9/2019,Elton Brewington,,Elizabeth Brewington,,"137 E Franklin St, Suite #611",Chapel Hill,North Carolina,27514,Orange,,(919) 891-0145,"We produce content (Video, Photography, podcasts, digital assets). We publish content books, magazines, inbox, branding kits, convention healthcare slides, brochures and materials. We offer digital and social media, advertising, Public relations and marketing services. We bring Global senior talent with multi-languages, media distribution to millions across channels, devices. We leverage AI, Data, App and new technologies to reach healthcare communities to create relevant and value driven communications. We create better jobs and develop state of the art Creative healthcare jobs and talent. We believe that we can help communicate complex scientific, medical , healthcare information that could possibly save lives to help patients and our community understand therapeutic treatments and importance of adherence We've worked with Veterans, Hospitals, Community Not-For-Profits like the American Cancer Society, American Diabetes Association to give back.","Website is inactive, NC SoS status as ""current-active"", latest annual report 4/17/2023. (Tiffany, 7/9/23) Website is inactive, NC SoS status as ""current-active"", latest annual report 4/17/2023. (John 5/21/24).",,,,,
Brij Group LLC,Brij,https://www.brijcommunity.com/,LLC - Limited Liability,5/20/2020,William Putsis,,William Putsis,,8 Chiswick Road APT. 33,Boston,Massachusetts,02135,,info@brijcommunity.com,,"""We designed Brij to create and enable connections to local communities. A place where we can easily and securely provide assistance for those local businesses we know and love. These local businesses depend on us and we depend on them. ""The Brij Community is much more than just about financial support. We've created a platform where we will allow local businesses to share their stories, give them resources other than money, and allow businesses various opportunities to give back to their customers with our Brij Promotions system. Our platform builds a true online community."" (https://www.brijcommunity.com/about, 1/14/2021)","Website is active, incorporated in MA: ID Number: 001438823, 6-27-22 - Tiffany. Dissolved on Massachusetts website, ID 001438823, ""Involuntary Dissolution by Court Order or by the SOC"" on 12/30/22 (Juliana, 5/23/23). Dissolved on Massachusetts website, ID 001438823, ""Involuntary Dissolution by Court Order or by the SOC"" on 12/30/22, website inactive (John 5/21/24).",,"Liquidation, close down",12/30/2022,,
Brilliant You LLC,,www.brilliantyoudenim.com,LLC - Limited Liability,5/9/2012,Terry Davis,,,,1451 S. Elm-Eugene Street Suite 1102,Greensboro,North Carolina,27406,Pitt,info@brilliantyoudenim.com,(336) 343-5535,"The business specializes in custom denim designs that incorporate very stretchy triangle-shaped material, called enhancements, into the jeans seam. This patented concept improve the way the jeans conform to each person body.",incorporated NC; annual report filed 4/9/2018,"Annual report NC filed and 4/12/19. JL 7/12/19. NC annual report 5/5/20, JL 6/14/20. AR 4/12/21- JL 7/21/21. Website is active, NC Sec State website status is ""Current - Active"", NC AR - 2-22-22, 6-27-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 4/10/23, website active (Juliana, 5/23/23) NC SoS status ""Current- Active"", AR filed 4/10/24, website active, email updated (John 5/21/24).",,,,
Bronto Software Inc,,http://bronto.com/,C Corporation,5/23/2002,Joe Colopy,,,,324 Blackwell St Ste 410,Durham,North Carolina,27701,Durham,info@bronto.com,(919) 595-2500,"Bronto Software offers commerce marketing automation for mid-market and enterprise organizations worldwide. The company is headquartered in Durham, NC, with additional offices in London, Sydney, New York City, and Los Angeles.",,"Was incorporated in NC and DE. NC Sec State site says it was dissolved due to merger in 10/21/15, by NetSuite (CA company) for $200M. Then Netsuite was acquired in 2016 by Oracle for $9.3B. (source: https://www.newsobserver.com/news/business/article92591197.html) JL 6/14/20. Per note above, marking as ""inactive"", 6-27-22 - Tiffany",Acquisition,6/9/2015,,
BruVue,,www.BruVue.com,,9/28/2017,Matthew Charles Dallhoff,,,,1946 Mostyn Lane,Apex,North Carolina,27502,Wake,,9193071779,,"NC Secretary of State website destructive filing status is ""Revoked; Website inactive; marking inactive, Tiffany (1/29/2024)",,"Liquidation, close down",5/26/2021,,
BuddyAi,The Wellness Club LLC,www.buddyai.info,,10/28/2022,Joseph Niemchak,,,,321 Painthorse Lane,Wendell,North Carolina,27591,Wake,,,"Our venture creates a comprehensive content strategy, including newsletters, Twitter threads, a digital product, and an optimized website, all tailored to our target audience. We focus on mindfulness and self-discovery to address the specific needs of burnt-out men seeking a more fulfilling life. Our approach is innovative, as we use AI-generated content and tools to create value and reach our audience effectively.","NC Secretary of State website status is ""Current-Active;"" No NC Annual Report yet; Creation Filed on 10/28/22; Website expired - Jenny (12/29/2023) NC SoS status ""Current- Active"", AR not filed yet, website not active (expired), company likely not active per founder's linkedin (John 5/21/24).",,,,,
Buds Apparel LLC,Buds Boxers,http://budsboxers.weebly.com/,LLC - Limited Liability,4/17/2015,George Lawson Kuehnert,Jake Higdon,,,407 W Union St,Morganton,North Carolina,28655,Burke,,,"""The new gold-standard for men's boxer shorts. Berry-compliant USA cotton. Antimicrobial. Classic colors. Straight-up boxer magic."" (from KickStarter campaign, 5/11/2015)","incorporated NC ADM Dissolution by NC Dept of Secretary of State, 2/2/2017, after more than 1 year of no annual reports being filed (Cindy, 4/13/2017) http://www.budsboxers.com/; KickStarter closed 5/23/2015 without reaching goal (Cindy, 7/9/2015)",,"Liquidation, close down",2/2/2017,,
Build the Hill,Build the Hill Microfinance,buildthehill.org,501c,2/1/2016,Eric Lee,,,,180a E Cameron Ave YMCA Building Cb #5115,Chapel Hill,North Carolina,27599,Orange,buildthehillunc@gmail.com,,"""Build The Hill?s (formerly known as Carolina Microfinance Initiative) mission is to alleviate poverty by promoting sustainable small business growth in Chapel Hill and the greater Triangle area. We provide lending and credit building services to financially disenfranchised local business owners and entrepreneurs who are unable to access traditional banks. Additionally, we strive to continually improve our services by keeping abreast of practical developments and innovations in the microfinance industry. "" (https://campusy.unc.edu/, January 2024)","founding team information: http://carolinamicrofinance.web.unc.edu/team/ incorporated NC, non-profit, 2/1/2016 Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","EIN 85-4148004 IRS website lists most recent Form 990-N filed for Tax Year 2021. Website is active, NC Sec State website status is ""Current - Active"", 6-27-22 - Tiffany. Current - active on NC site, no annual report required, website active (Juliana, 5/23/23) ""Current- Active"" on NC SoS, EIN: 85-4148004, form 990-N filed 2022, website inactive, campus Y page inactive (John 5/21/24).",,,,
Bukka's 'Bucha,,https://bukkasbucha.com/,LLC - Limited Liability,7/21/2022,Desiree Lockhart,,,,,Chapel Hill,North Carolina,,Orange,,,"We make four flavors of handcrafted kombucha (fermented sweet tea). Kombucha is a probiotic drink cited for its energizing, immunity-boosting, antioxidant, gut cleaning properties. The kombucha market has been growing over the past 30 years, but retail options are often cited as being too sour or vinegary to enjoy. Thus, Bukka's 'Bucha has crafted a recipe that is more attuned to sweeter taste buds and does not taste like anything currently on the market while still providing all the same health benefits. We also are a sustainable enterprise who is tackling glass bottle waste by providing a discount for consumers who return or donate glass bottles back to Bukka's 'Bucha to be sterilized and repurposed for our kombucha.",,"NC registration and website active (Patrick, 2/28/23) Current - Active on NC site, no annual report filed, website active (Juliana, 5/16/23) Current - Active on NC site, no annual report filed yet, website inactive (John 5/21/24). No further info found, except Instagram page that last posted January 2023.",,,,
Butternut Pals Forever,Wash.Play.Grow,https://butternutpals.com/,S Corporation,4/25/2011,Shivani Sud,,,,1813 Chapel Hill Road,Durham,North Carolina,27707,Durham,info@butternutpals.com,,"We create playful, fully washable plush animal toys with a special pocket for wireless speaker to access educational digital audio content.","company name is Butternut Pals Forever, website up, no incorporation found (Patrick, 7/5/2022). Website is active, no further incorporation data found. (Juliana, 6/27/23) Not incorporated in NC/DE, website active, no further info found (John 5/21/24).",No company data- JL 8/8/21.,,,,
Buzz Enterprises LLC,"Buzz Rides, Buzz Enterprises LLC",http://www.buzzrides.com/,LLC - Limited Liability,7/23/2013,Joseph W Skavroneck,Parker Draughon,,,173 1/2 East Frankin St,Chapel Hill,North Carolina,27514,Orange,buzzenterprisesunc@gmail.com,(704) 222-0203,"Buzz Enterprises operates Buzz Rides, a free, safe, fun, and environmentally friendly transportation service for students at UNC-Chapel Hill.",incorporated NC; annual report NC 2/2/2016,"Most recent NC annual report is 10/11/17. Jen Lai 7/13/19. The company status is ""dissolved"" from NC Sec of State on 10/11/19 but website is still active, JL 6/14/20. Website is inactive 7/21/21. Per note above, marking as ""inactive"", 6-27-22 - Tiffany","Liquidation, close down",10/11/2019,,
Cadre VR LLC,,https://www.cadrevr.com/,LLC - Limited Liability,3/22/2019,Caroline Lu,William Frasca,,,208 Lynnfield Lane,Garner,North Carolina,27529,Johnston,cadrevr@gmail.com,(919) 621-3589,Cadre VR is a startup company that will become the most accessible platform for audiences to view 3D virtual reality movies and television.,"no incorporation information found (Cindy, 1/31/2019), registered as LLC in NC (Patrick, 1/12/2021)","First annual report published 2/27/20. Jen Lai (6/14/20). AR 2/25/21- JL 7/21/21. NC Sec State website status is ""Dissolved"", website is still active. 12-29-21 is the destruction filing date, 6-27-22 - Tiffany. No further information on LinkedIn, marking inactive per notes above (Tiffany, 7/20/23).","Liquidation, close down",12/29/2021,,
Calla Lily Clinical Care,,https://www.callali.ly,,5/24/2021,Lara Zibners Lohr,,,,5th Floor,London,,,,info@callali.ly,+44 (0) 20 7754 5400,"""Calla Lily Clinical Care is a British medical device startup developing a leak-free, convenient and dosage-confident delivery platform for vaginally-delivered drugs. We are initially focused on delivering progesterone for miscarriage prevention and IVF, where there is an unmet need for a patient-friendlier means of drug administration during an already stressful fertility journey. Progesterone prescriptions have significantly increased following the Nov 2021 update to internationally-renowned NICE's guidance on miscarriages. ""Subsequent applications include treatments focused on menopause and on the vaginal microbiome. Our patented technology has received FDA clearance and was named one of TIME magazine?s Best Inventions of the Year."" (Website, 7-25-24)","Incorporated in UK, active website, (Tiffany, 7-25-24)",,,,,
